"Access","Access Start (UTCG)","Access End (UTCG)","Duration (sec)","Asset Full Name"
1994,17 Dec 2021 23:20:52.947,17 Dec 2021 23:24:37.699,224.752,"Puertollano"
1995,18 Dec 2021 00:09:24.044,18 Dec 2021 00:12:18.893,174.849,"Awarua"
1996,18 Dec 2021 00:53:17.585,18 Dec 2021 00:57:02.616,225.030,"Azores"
1997,18 Dec 2021 01:25:32.629,18 Dec 2021 01:29:08.560,215.931,"Singapore"
1998,18 Dec 2021 01:45:19.131,18 Dec 2021 01:48:47.265,208.134,"Awarua"
1999,18 Dec 2021 02:15:12.147,18 Dec 2021 02:18:53.037,220.891,"Panama"
2000,18 Dec 2021 02:49:25.272,18 Dec 2021 02:51:55.387,150.115,"Dubai"
2001,18 Dec 2021 02:55:12.506,18 Dec 2021 02:58:19.558,187.051,"Bangladore"
2002,18 Dec 2021 03:10:37.240,18 Dec 2021 03:12:45.474,128.234,"Mingenew"
2003,18 Dec 2021 03:22:26.585,18 Dec 2021 03:25:00.993,154.409,"Awarua"
2004,18 Dec 2021 04:17:23.824,18 Dec 2021 04:21:03.698,219.874,"Nemea"
2005,18 Dec 2021 04:58:32.957,18 Dec 2021 05:02:11.068,218.112,"Awarua"
2006,18 Dec 2021 05:49:08.350,18 Dec 2021 05:52:40.097,211.747,"Puertollano"
2007,18 Dec 2021 06:11:26.281,18 Dec 2021 06:14:15.283,169.003,"Mauritius"
2008,18 Dec 2021 06:35:23.184,18 Dec 2021 06:37:33.180,129.996,"Awarua"
2009,18 Dec 2021 07:02:51.825,18 Dec 2021 07:05:49.240,177.415,"Los_Angeles"
2010,18 Dec 2021 07:21:32.686,18 Dec 2021 07:25:04.703,212.017,"Azores"
2011,18 Dec 2021 07:25:43.886,18 Dec 2021 07:28:41.440,177.554,"Maspalomas"
2012,18 Dec 2021 07:43:50.373,18 Dec 2021 07:46:50.332,179.959,"Hartebeesthoek"
2013,18 Dec 2021 08:30:42.944,18 Dec 2021 08:32:36.159,113.216,"Hawaii"
2014,18 Dec 2021 11:17:40.584,18 Dec 2021 11:21:08.947,208.363,"Mingenew"
2015,18 Dec 2021 13:10:58.050,18 Dec 2021 13:14:33.081,215.031,"Tokyo"
2016,18 Dec 2021 13:32:45.441,18 Dec 2021 13:35:17.561,152.120,"Los_Angeles"
2017,18 Dec 2021 13:44:09.070,18 Dec 2021 13:46:28.522,139.452,"Panama"
2018,18 Dec 2021 13:55:56.592,18 Dec 2021 13:56:35.166,38.574,"Cordoba"
2019,18 Dec 2021 14:45:08.328,18 Dec 2021 14:47:44.318,155.990,"Jeju"
2020,18 Dec 2021 15:59:05.825,18 Dec 2021 16:01:26.081,140.256,"Mauritius"
2021,18 Dec 2021 16:08:45.502,18 Dec 2021 16:12:16.747,211.245,"Bangladore"
2022,18 Dec 2021 17:09:18.091,18 Dec 2021 17:11:57.711,159.619,"Punta_Arenas"
2023,18 Dec 2021 17:10:05.930,18 Dec 2021 17:12:31.780,145.851,"Tolhuin"
2024,18 Dec 2021 17:28:57.029,18 Dec 2021 17:32:02.567,185.538,"Hartebeesthoek"
2025,18 Dec 2021 17:44:19.296,18 Dec 2021 17:46:59.533,160.238,"Dubai"
2026,18 Dec 2021 18:18:35.698,18 Dec 2021 18:19:53.591,77.893,"Hawaii"
2027,18 Dec 2021 18:44:45.798,18 Dec 2021 18:48:29.267,223.469,"Punta_Arenas"
2028,18 Dec 2021 18:45:28.597,18 Dec 2021 18:48:59.697,211.100,"Tolhuin"
2029,18 Dec 2021 20:20:57.844,18 Dec 2021 20:24:30.169,212.325,"Punta_Arenas"
2030,18 Dec 2021 20:21:44.220,18 Dec 2021 20:24:39.635,175.415,"Tolhuin"
2031,18 Dec 2021 20:53:33.431,18 Dec 2021 20:56:32.648,179.216,"Nemea"
2032,18 Dec 2021 21:15:04.336,18 Dec 2021 21:17:32.059,147.723,"Jeju"
2033,18 Dec 2021 21:16:31.049,18 Dec 2021 21:19:37.836,186.786,"Tokyo"
2034,18 Dec 2021 22:02:14.306,18 Dec 2021 22:03:47.501,93.195,"Cordoba"
2035,18 Dec 2021 22:26:43.597,18 Dec 2021 22:27:29.619,46.021,"Puertollano"
2036,18 Dec 2021 22:31:04.246,18 Dec 2021 22:31:39.401,35.155,"Nemea"
2037,18 Dec 2021 23:59:10.119,18 Dec 2021 23:59:52.789,42.670,"Azores"
2038,19 Dec 2021 00:01:51.125,19 Dec 2021 00:04:37.318,166.194,"Puertollano"
2039,19 Dec 2021 00:49:17.565,19 Dec 2021 00:53:03.710,226.145,"Awarua"
2040,19 Dec 2021 01:34:15.231,19 Dec 2021 01:37:02.641,167.410,"Azores"
